Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-EnovacomBridge.json	8357	-	0	0	0	0	0	0	9	72	0	0	0	0	0	0	0	1	0	0	189	1064	0	0	0	2	0	1
fsh-generated/resources/Appointment-AppointmentExample.json	2330	5	0	0	1	0	0	0	0	611	0	0	0	0	0	0	0	0	0	0	65	381	0	0	0	0	0	0
fsh-generated/resources/Encounter-EncounterVisitExample.json	5583	2	0	0	0	0	0	0	1	91	0	0	0	0	0	0	0	0	0	0	86	383	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-EpisodeOfCareExample.json	1560	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	54	328	0	0	0	0	0	0
fsh-generated/resources/Patient-1c783afa-9981-4977-be63-8859f0a8fde5.json	2510	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	85	363	0	0	0	0	0	0
fsh-generated/resources/Practitioner-6b70aeba-4024-4cf0-8959-2d1d6cf15597.json	1776	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	76	282	0	0	0	0	0	1
fsh-generated/resources/Practitioner-z65g3ad4-4512-4477-biu3-8719haf7d75.json	836	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	59	272	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-appointment-actor-identifier.json	554	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	80	334	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-encounter-location-identifier.json	606	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	82	403	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-patient-creation-date.json	685	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	78	389	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-PatientCreationDate.json	1591	1	0	9	0	0	0	0	0	89	0	0	1	0	0	0	0	0	0	0	210	7493	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-appointment-enovacom-bridge.json	9519	2	0	48	0	0	0	0	0	178	0	0	0	0	0	0	0	2	0	0	1451	4884	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-encounter-visit-enovacom-bridge.json	14572	6	0	58	0	0	0	0	1	107	0	0	0	0	0	0	0	1	0	0	1623	4923	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-episodeOfCare-enovacom-bridge.json	5715	3	0	18	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	730	3969	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-patient-enovacom-bridge.json	27675	6	0	57	0	0	0	0	0	168	0	0	1	0	0	0	0	1	0	0	2711	4559	0	0	0	23	0	1
fsh-generated/resources/StructureDefinition-practitioner-enovacom-bridge.json	11226	2	0	36	0	0	0	0	0	95	0	0	0	0	0	0	0	1	0	0	1575	3404	0	0	0	13	0	2
\fsh-generated\includes\fsh-link-references.md	1223	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
\fsh-generated\includes\menu.xml	2423	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
\input\pagecontent\api.md	10280	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0
\input\pagecontent\authentification.md	1092	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
\input\pagecontent\documentation.md	3680	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
\input\pagecontent\index.md	1944	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
\input\pagecontent\modeleEditeurAbo.md	10060	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
\input\pagecontent\modeleEditeurGet.md	11196	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
\input\pagecontent\modeleEtab.md	2175	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
\input\pagecontent\other.md	725	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\input\pagecontent\subscription.md	924	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\template\config\_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
\temp\pages\_includes\artifacts.xml	9637	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
